Joe La Sorsa*,WSN,lasorjo01
Peter Lambert,COL,lambepe01
Dinelson Lamet,LAD,lametdi01
Alex Lange,DET,langeal01
Jacob Latz*,TEX,latzja01
Derek Law,WSN,lawde01
Justin Lawrence,COL,lawreju01
Max Lazar,PHI,lazarma01
Kyle Leahy,STL,leahyky01
Jordan Leasure,CHW,leasujo01
José Leclerc,TEX,leclejo01
Dylan Lee*,ATL,leedy01
Casey Legumina,CIN,legumca01
Jack Leiter,TEX,leiteja01
Mark Leiter Jr.,TOT,leitema02
Mark Leiter Jr.,CHC,leitema02
Mark Leiter Jr.,NYY,leitema02
Dominic Leone,CHW,leonedo01
Matthew Liberatore*,STL,liberma01
Zack Littell,TBR,litteza01
Brendon Little*,TOR,littlbr02
Luke Little*,CHC,littllu01
Ben Lively,CLE,livelbe01
Jonathan Loáisiga,NYY,loaisjo01
Nick Lodolo*,CIN,lodolni01
Nick Loftin,KCR,loftini01
Sam Long*,KCR,longsa01
Jacob Lopez*,TBR,lopezja04
Jorge López,TOT,lopezjo02
Jorge López,NYM,lopezjo02
Jorge López,CHC,lopezjo02
Pablo López,MIN,lopezpa01
Reynaldo López,ATL,lopezre01
Michael Lorenzen,TOT,lorenmi01
Michael Lorenzen,TEX,lorenmi01
Michael Lorenzen,KCR,lorenmi01
Ryan Loutos,STL,loutory01
Richard Lovelady*,TOT,lovelri01
Richard Lovelady*,CHC,lovelri01
Richard Lovelady*,TBR,lovelri01
Easton Lucas*,TOT,lucasea01
Easton Lucas*,OAK,lucasea01
Easton Lucas*,DET,lucasea01
Joey Lucchesi*,NYM,lucchjo01
Seth Lugo,KCR,lugose01
Jesús Luzardo*,MIA,luzarje01
Jordan Lyles,KCR,lylesjo01
Daniel Lynch IV*,KCR,lynchda02
Lance Lynn,STL,lynnla01
Josh Maciejewski*,NYY,maciejo01
Kenta Maeda,DET,maedake01
Tyler Mahle,TEX,mahlety01
Luke Maile,CIN,mailelu01
Anthony Maldonado,MIA,maldoan01
Sean Manaea*,NYM,manaese01
Matt Manning,DET,mannima02
Alek Manoah,TOR,manoaal01
Joe Mantiply*,ARI,mantijo01
Ron Marinaccio,NYY,marinro01
Germán Márquez,COL,marquge01
Alec Marsh,KCR,marshal01
José Marte,LAA,martejo01
Yunior Marte,PHI,marteyu01
Chris Martin,BOS,martich02
Davis Martin,CHW,martida03
Justin Martinez,ARI,martiju01
Nick Martinez,CIN,martini01
Seth Martinez,HOU,martise01
Phil Maton,TOT,matonph01
Phil Maton,TBR,matonph01
Phil Maton,NYM,matonph01
Yuki Matsui*,SDP,matsuyu01
Zebby Matthews,MIN,matthze01
Steven Matz*,STL,matzst01
Tyler Matzek*,ATL,matzety01
Tim Mayza*,TOT,mayzati01
