
Rk	Name	Age	Tm	W	L	W-L%	ERA	G	GS
▼	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	FIP	WHIP	H9	HR9	BB9	SO9	SO/W
80	Tylor Megill	28	NYM	2	5	.286	5.17	10	9	0	0	0	0	47.0	45	30	27	6	22	0	55	3	0	1	209	77	4.09	1.426	8.6	1.1	4.2	10.5	2.50
81	Christian Scott	25	NYM	0	3	.000	4.56	9	9	0	0	0	0	47.1	45	24	24	8	12	0	39	2	0	0	197	87	4.61	1.204	8.6	1.5	2.3	7.4	3.25
82	Bryse Wilson	26	MIL	5	3	.625	3.94	30	9	4	0	0	0	98.1	91	44	43	18	30	0	79	4	1	3	411	107	4.99	1.231	8.3	1.6	2.7	7.2	2.63
83	Hayden Birdsong	22	SFG	3	2	.600	5.40	8	8	0	0	0	0	36.2	32	23	22	8	19	0	44	2	0	3	159	73	5.33	1.391	7.9	2.0	4.7	10.8	2.32
84	Ben Brown	24	CHC	1	3	.250	3.58	15	8	0	0	0	0	55.1	41	22	22	5	19	0	64	1	0	2	222	118	3.12	1.084	6.7	0.8	3.1	10.4	3.37
85	Landon Knack	26	LAD	2	2	.500	3.00	10	8	1	0	0	1	48.0	36	16	16	9	12	0	44	3	0	0	195	134	4.72	1.000	6.8	1.7	2.3	8.3	3.67
86	Adam Mazur	23	SDP	1	3	.250	7.49	8	8	0	0	0	0	33.2	40	28	28	6	21	0	22	2	0	0	158	55	6.24	1.812	10.7	1.6	5.6	5.9	1.05
87	Luis Ortiz	25	PIT	5	3	.625	3.41	30	8	2	0	0	1	95.0	79	38	36	10	30	2	71	6	1	1	391	121	4.19	1.147	7.5	0.9	2.8	6.7	2.37
88	Carson Spiers	26	CIN	4	4	.500	4.55	14	8	3	0	0	0	65.1	69	35	33	9	15	0	61	3	0	0	281	94	3.93	1.286	9.5	1.2	2.1	8.4	4.07
89	José Buttó	26	NYM	5	3	.625	2.52	18	7	2	0	0	2	60.2	34	17	17	5	30	0	65	4	1	2	241	157	3.79	1.055	5.0	0.7	4.5	9.6	2.17
90	Braxton Garrett*	26	MIA	2	2	.500	5.35	7	7	0	1	1	0	37.0	40	24	22	5	4	0	34	5	0	1	161	84	3.83	1.189	9.7	1.2	1.0	8.3	8.50
91	Marco Gonzales*	32	PIT	1	1	.500	4.54	7	7	0	0	0	0	33.2	43	17	17	5	11	0	23	0	0	0	151	91	4.72	1.604	11.5	1.3	2.9	6.1	2.09
92	Tommy Henry*	26	ARI	2	3	.400	7.04	9	7	1	0	0	0	38.1	49	31	30	9	18	0	30	4	0	0	182	59	6.39	1.748	11.5	2.1	4.2	7.0	1.67
93	Adrian Houser	31	NYM	1	5	.167	5.84	23	7	9	0	0	1	69.1	74	48	45	8	32	0	45	4	0	2	309	68	4.94	1.529	9.6	1.0	4.2	5.8	1.41
94	Nick Martinez	33	CIN	6	5	.545	3.16	33	7	3	0	0	0	91.0	84	35	32	7	10	0	75	4	0	2	367	135	2.99	1.033	8.3	0.7	1.0	7.4	7.50
95	Max Meyer	25	MIA	3	2	.600	5.20	7	7	0	0	0	0	36.1	37	21	21	7	9	0	30	2	0	0	152	86	4.94	1.266	9.2	1.7	2.2	7.4	3.33
96	Bobby Miller	25	LAD	1	2	.333	8.07	7	7	0	0	0	0	29.0	35	26	26	7	18	0	27	0	0	2	133	50	6.31	1.828	10.9	2.2	5.6	8.4	1.50
97	Sixto Sánchez	25	MIA	0	3	.000	6.06	14	7	2	0	0	0	35.2	43	29	24	3	14	0	17	3	1	1	162	74	4.75	1.598	10.9	0.8	3.5	4.3	1.21
98	Spencer Turnbull	31	PHI	3	0	1.000	2.65	17	7	4	0	0	0	54.1	37	17	16	6	20	0	58	5	0	2	222	154	3.86	1.049	6.1	1.0	3.3	9.6	2.90
99	Kyle Tyler	27	MIA	0	2	.000	5.40	8	7	0	0	0	0	31.2	37	19	19	4	18	0	25	1	0	1	142	83	5.04	1.737	10.5	1.1	5.1	7.1	1.39
100	Hayden Wesneski	26	CHC	3	6	.333	3.94	25	7	2	0	0	0	61.2	53	35	27	11	21	0	58	2	1	1	263	107	4.73	1.200	7.7	1.6	3.1	8.5	2.76
101	Yonny Chirinos	30	MIA	0	2	.000	6.30	6	6	0	0	0	0	30.0	43	21	21	7	13	0	25	3	0	1	144	71	6.14	1.867	12.9	2.1	3.9	7.5	1.92
102	Aaron Civale	29	MIL	1	2	.333	4.88	6	6	0	0	0	0	31.1	33	19	17	7	12	0	29	1	0	0	138	87	5.47	1.436	9.5	2.0	3.4	8.3	2.42
103	Tanner Gordon	26	COL	0	4	.000	7.00	6	6	0	0	0	0	27.0	35	22	21	7	5	0	23	2	0	0	121	66	5.62	1.481	11.7	2.3	1.7	7.7	4.60
104	Matthew Liberatore*	24	STL	3	3	.500	4.71	41	6	7	0	0	0	65.0	58	35	34	8	22	1	56	2	0	3	267	90	4.16	1.231	8.0	1.1	3.0	7.8	2.55
105	Steven Matz*	33	STL	1	2	.333	6.18	6	6	0	0	0	0	27.2	37	22	19	3	11	0	17	2	0	1	127	69	4.77	1.735	12.0	1.0	3.6	5.5	1.55
106	Tyler Phillips	26	PHI	4	1	.800	5.50	7	6	1	1	1	0	36.0	37	22	22	7	7	0	27	2	0	0	150	75	4.95	1.222	9.3	1.8	1.8	6.8	3.86
107	Quinn Priester	23	PIT	2	6	.250	5.04	10	6	1	0	0	0	44.2	52	29	25	7	13	0	31	2	0	1	201	82	4.83	1.455	10.5	1.4	2.6	6.2	2.38
108	Jordan Wicks*	24	CHC	1	2	.333	4.18	7	6	0	0	0	0	28.0	31	16	13	2	10	0	32	2	0	3	128	101	3.11	1.464	10.0	0.6	3.2	10.3	3.20
109	Valente Bellozo	24	MIA	2	1	.667	2.28	5	5	0	0	0	0	27.2	20	7	7	2	6	0	23	1	0	0	109	197	3.21	0.940	6.5	0.7	2.0	7.5	3.83
110	Robert Gasser*	25	MIL	2	0	1.000	2.57	5	5	0	0	0	0	28.0	28	9	8	2	1	0	16	3	0	0	114	165	3.39	1.036	9.0	0.6	0.3	5.1	16.00
111	DL Hall*	25	MIL	0	1	.000	6.43	5	5	0	0	0	0	21.0	31	17	15	5	13	0	22	3	0	1	106	66	6.46	2.095	13.3	2.1	5.6	9.4	1.69
112	Merrill Kelly	35	ARI	3	0	1.000	2.43	5	5	0	0	0	0	29.2	20	8	8	3	8	0	23	0	1	0	112	171	3.75	0.944	6.1	0.9	2.4	7.0	2.88
113	Jared Koenig*	30	MIL	8	3	.727	2.18	37	5	3	0	0	0	45.1	40	14	11	3	15	2	45	3	0	0	194	193	3.24	1.213	7.9	0.6	3.0	8.9	3.00
