Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,PlayerAdditional
85,Adley Rutschman,26,BAL,AL,2.8,112,491,439,58,117,16,1,17,69,1,0,44,80,.267,.332,.424,.756,117,.327,115,186,7,2,0,6,3,2D/H,AS,rutscad01
86,Carlos Santana,38,MIN,AL,2.1,113,446,392,46,95,22,0,17,54,4,0,46,77,.242,.330,.429,.758,110,.331,108,168,10,6,0,2,2,3/HD,0,santaca01
87,Michael Busch,26,CHC,NL,3.0,116,428,373,55,96,23,1,16,45,2,1,50,132,.257,.346,.453,.799,121,.350,122,169,6,2,0,3,1,3H/4D5,0,buschmi02
88,Byron Buxton,30,MIN,AL,3.2,90,335,305,54,84,23,3,16,49,6,2,18,89,.275,.334,.528,.862,136,.366,134,161,3,10,0,2,1,8/HD,0,buxtoby01
89,Nick Castellanos,32,PHI,NL,0.1,122,505,465,58,115,25,3,16,61,5,2,31,104,.247,.303,.417,.720,101,.320,102,194,11,7,0,2,2,9/D,0,casteni01
90,William Contreras,26,MIL,NL,3.5,118,526,469,79,133,32,2,16,70,5,2,52,105,.284,.357,.463,.820,127,.358,127,217,15,3,0,2,2,2D/H,AS,contrwi02
91,Andrew McCutchen,37,PIT,NL,1.0,101,437,378,59,89,14,1,16,40,3,2,51,114,.235,.336,.405,.741,108,.333,112,153,8,7,0,1,1,D/9H,0,mccutan01
92,Ryan McMahon,29,COL,NL,2.6,117,496,431,57,107,24,0,16,54,4,5,57,143,.248,.338,.415,.753,104,.325,100,179,8,3,0,3,3,5/DH,AS,mcmahry01
93,Will Smith,29,LAD,NL,2.7,99,428,375,58,94,21,1,16,62,0,1,42,86,.251,.329,.440,.769,116,.328,110,165,6,5,0,6,6,2/HD,AS,smithwi05
94,Tyler Stephenson,27,CIN,NL,1.8,103,372,332,51,82,20,1,16,47,1,0,33,70,.247,.323,.458,.780,113,.343,115,152,4,5,0,2,1,2H/D,0,stephty01
95,Seiya Suzuki,29,CHC,NL,2.2,96,419,373,52,99,19,5,16,56,10,4,36,114,.265,.337,.472,.808,123,.346,119,176,2,6,0,4,1,9D/7H,0,suzukse01
96,Taylor Ward,30,LAA,AL,1.1,116,489,431,51,102,22,0,16,56,3,3,47,123,.237,.313,.399,.712,98,.313,98,172,9,4,0,7,0,7D,0,wardta01
